i: 990277 -> +00d 03:06:31.50 pm - 0x5895B9AF
0x5895B9AF
0x46008C4F
Copy Prot Place: 4
PreLevel00: 0x46008c4f <<<--- Press enter here
PreLevel01: 0xf856f5d6
PreLevel02: 0x11f09541
Level 1, Step 0075/0244: - RNG: 0x538c348b, IGT: 60:647, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0076/0244: - RNG: 0x7f41df5d, IGT: 60:646, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0077/0244: - RNG: 0x9ec230bf, IGT: 60:645, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0078/0244: - RNG: 0xa9ccdd31, IGT: 60:644, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0079/0244: - RNG: 0x65733d33, IGT: 60:643, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0080/0244: - RNG: 0x69456d45, IGT: 60:642, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0081/0244: - RNG: 0x735d4399, IGT: 60:641, Loose: 21, Move: '......S', Room: 2
Level 1, Step 0082/0244: - RNG: 0x9b8116db, IGT: 60:640, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0083/0244: - RNG: 0x198e542d, IGT: 60:639, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0084/0244: - RNG: 0x67a6cc0f, IGT: 60:638, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0085/0244: - RNG: 0x4baed301, IGT: 60:637, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0086/0244: - RNG: 0x2b016183, IGT: 60:636, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0087/0244: - RNG: 0xa8c53415, IGT: 60:635, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0088/0244: - RNG: 0x4beaeb37, IGT: 60:634, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0089/0244: - RNG: 0x121c2b69, IGT: 60:633, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0090/0244: - RNG: 0x3f23bd2b, IGT: 60:632, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0091/0244: - RNG: 0x7496acfd, IGT: 60:631, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0092/0244: - RNG: 0xbbc66b5f, IGT: 60:630, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0093/0244: - RNG: 0xbc43ecd1, IGT: 60:629, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0094/0244: - RNG: 0x6b7bc9d3, IGT: 60:628, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0095/0244: - RNG: 0x26335ee5, IGT: 60:627, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0096/0244: - RNG: 0xeaeeec87, IGT: 60:626, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0097/0244: - RNG: 0x6488b739, IGT: 60:625, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0098/0244: - RNG: 0x2e81277b, IGT: 60:624, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0099/0244: - RNG: 0x48cfe9cd, IGT: 60:623, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0100/0244: - RNG: 0x9f3e0eaf, IGT: 60:622, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0101/0244: - RNG: 0xe8912aa1, IGT: 60:621, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0102/0244: - RNG: 0x840f7623, IGT: 60:620, Loose: 21, Move: '...R...', Room: 2
Level 1, Step 0103/0244: - RNG: 0x7024edb5, IGT: 60:619, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0104/0244: - RNG: 0x8b3171d7, IGT: 60:618, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0105/0244: - RNG: 0x17c7e709, IGT: 60:617, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0106/0244: - RNG: 0x87e655cb, IGT: 60:616, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0107/0244: - RNG: 0xeeef0a9d, IGT: 60:615, Loose: 21, Move: '.......', Room: 2
